,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_mse_train,metric_mse_test,metric_mae_train,metric_mae_test,metric_r2_train,metric_r2_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo,metric_wape_train,metric_wape_test
159,LGBMRegressor,diabetes,2,354,88,55.414731,42,434.83339916324854,3993.047880462457,16.04890902003603,50.25172622050196,0.9256378512975356,0.36198866878072,,,,,,0.10524069711567789,0.3335207713556205
160,CatBoostRegressor,diabetes,2,354,88,6.534916,42,83.35703108864574,3807.693912581487,7.107218939154098,49.73107223214625,0.9857448669924208,0.3916046251465671,,,,,,0.046605577661169066,0.33006519016734825
161,DecisionLatticeRegressor,diabetes,2,354,88,3.643266000000001,42,295.44030207081744,3650.265744280841,6.674437134608495,48.72058007047502,0.9494758780775182,0.4167585822830078,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",,0.04376761161920953,0.3233585523947358
162,DecisionLatticeRegressor,diabetes,2,354,88,4.079467,42,5652.960564329618,6115.749816129209,64.75584502504346,67.22849997360338,0.03327045506909265,0.022822215409858848,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate,0.4246363577887038,0.44619564052169075
163,DecisionLatticeRegressor,diabetes,2,354,88,173.280686,42,295.44030207081744,4245.902067579975,6.674437134608495,51.71415169731279,0.9494758780775182,0.3215874911949076,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",exact,0.04376761161920953,0.3432268911202599
164,DecisionLatticeRegressor,diabetes,2,354,88,10.289575,42,47.36373975746575,3519.6698611435527,1.8285889163736788,49.470899201697826,0.9919001864490468,0.43762526250987455,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",,0.01199096910929687,0.3283384214306817
165,DecisionLatticeRegressor,diabetes,2,354,88,11.208806,42,5670.446842913862,6088.488537597859,64.69193432787742,66.53885856133792,0.03028007472840033,0.027178037109775958,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate,0.42421726348674804,0.4416184895842626
166,DecisionLatticeRegressor,diabetes,2,354,88,513.272489,42,47.36373975746575,3400.4136126345625,1.8285889163736788,48.233407778383416,0.9919001864490468,0.4566800898360688,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",exact,0.01199096910929687,0.3201251892674969
167,DecisionLatticeRegressor,diabetes,2,354,88,46.772224,42,5289.317272169932,5943.102606180675,58.719708953397976,64.44352029927424,0.0954581725219562,0.05040787918051248,,,Sofia,"{'L_max': 100, 'random_state': 42}",,0.3850544044439627,0.4277117268524122
168,DecisionLatticeRegressor,diabetes,2,354,88,46.803538,42,6334.598552838315,6341.746693221,63.83595885088854,64.51674516647482,-0.08329847813675517,-0.013287686780453669,,,Sofia,"{'L_max': 100, 'random_state': 42}",approximate,0.41860420556488115,0.4281977203899076
