,model,ds,fold_id,train_size,test_size,time,param_random_state,metric_accuracy_train,metric_accuracy_test,metric_f1_train,metric_f1_test,metric_roc_train,metric_roc_test,param_n_estimators,param_max_depth,param_algo,param_algo_params,param_gen_algo
136,DecisionLatticeClassifier,bank,3,36169,9042,144.313705,42,0.9347784013934584,0.8544569785445698,0.6739460953697305,0.4077407740774077,0.7796734422442301,0.6684068387150194,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
137,DecisionLatticeClassifier,bank,3,36169,9042,158.36354,42,0.8832425557798115,0.8821057288210573,0.0,0.0,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
138,DecisionLatticeClassifier,bank,3,36169,9042,426.59190199999995,42,0.9393679670436008,0.8545675735456757,0.6891566265060238,0.3454454952712793,0.781552341782536,0.6253958874748071,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
139,DecisionLatticeClassifier,bank,3,36169,9042,466.79462199999995,42,0.8832425557798115,0.8821057288210573,0.0,0.0,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
140,DecisionTreeClassifier,bank,4,36169,9042,0.188749,42,1.0,0.648197301481973,1.0,0.3900287631831256,1.0,0.5695754781058884,,,,,
141,RandomForestClassifier,bank,4,36169,9042,0.13314600000000001,42,0.9529431280931184,0.7018358770183588,0.5117613310384395,0.3229532898041186,0.6809266075670268,0.5735302607949097,5.0,10.0,,,
142,RandomForestClassifier,bank,4,36169,9042,3.844025,42,1.0,0.7006193320061933,1.0,0.29302689997388354,1.0,0.5649132834511108,,,,,
143,GradientBoostingClassifier,bank,4,36169,9042,3.483306,42,0.9458099477453068,0.7008405220084052,0.4882506527415144,0.38620376673474016,0.6853023247359322,0.5924052210602961,,,,,
144,LGBMClassifier,bank,4,36169,9042,1.9441509999999997,42,0.9618457795349608,0.7173191771731918,0.670487106017192,0.4327563249001332,0.7833305177768219,0.616134596418587,,,,,
145,CatBoostClassifier,bank,4,36169,9042,280.783728,42,0.9622604993226244,0.7205264322052644,0.6678023850085179,0.39790326423635936,0.7774508597059971,0.6052846696389518,,,,,
146,DecisionLatticeClassifier,bank,4,36169,9042,112.103728,42,0.9559291105642954,0.6923247069232471,0.5712748789671868,0.09733939000648928,0.7149440005181307,0.5201176008715804,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
147,DecisionLatticeClassifier,bank,4,36169,9042,127.701958,42,0.9327324504409854,0.6841406768414068,0.0,0.0,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
148,DecisionLatticeClassifier,bank,4,36169,9042,315.56967000000003,42,0.9588321490779396,0.6930988719309887,0.6151460325665546,0.11370169274992015,0.7409080916584381,0.523322180472577,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",
149,DecisionLatticeClassifier,bank,4,36169,9042,340.806897,42,0.9327324504409854,0.6841406768414068,0.0,0.0,0.5,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 10, 'max_depth': 10}, 'random_state': 42}",approximate
150,DecisionTreeClassifier,breast,0,559,140,0.003199,42,1.0,0.8714285714285714,1.0,0.8363636363636364,1.0,0.8581472291149711,,,,,
151,RandomForestClassifier,breast,0,559,140,0.011745,42,0.992844364937388,0.8857142857142857,0.988826815642458,0.8688524590163934,0.9917818288738606,0.8825475599669149,5.0,10.0,,,
152,RandomForestClassifier,breast,0,559,140,0.171454,42,1.0,0.9142857142857144,1.0,0.8983050847457628,1.0,0.9081885856079406,,,,,
153,GradientBoostingClassifier,breast,0,559,140,0.07447999999999999,42,1.0,0.9,1.0,0.8813559322033899,1.0,0.8937138130686518,,,,,
154,LGBMClassifier,breast,0,559,140,0.748171,42,1.0,0.8857142857142857,1.0,0.8620689655172414,1.0,0.8775847808105872,,,,,
155,CatBoostClassifier,breast,0,559,140,6.425435,42,1.0,0.9071428571428573,1.0,0.8907563025210085,1.0,0.901778329197684,,,,,
156,DecisionLatticeClassifier,breast,0,559,140,0.313847,42,0.992844364937388,0.9214285714285714,0.9889502762430941,0.907563025210084,0.9947368421052633,0.9162531017369728,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",
157,DecisionLatticeClassifier,breast,0,559,140,0.351234,42,0.3363148479427549,0.4428571428571429,0.4910836762688615,0.6138613861386139,0.5118421052631579,0.5,,,RandomForest,"{'rf_params': {'n_estimators': 5, 'max_depth': 10}, 'random_state': 42}",approximate
